Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q4632380,26 Commissars Memorial,40.373136,49.845755,Point(49.845755 40.373136),5,architectural structure,destroyed building or structure,1968-01-01T00:00:00Z,,,,"Alesker Huseynov, Hanifa Alasgarov",,,"concrete, granite, marble, reinforced concrete",,,"26 Baku Commissars Memorial, 1987.jpg",,26 Baku Commissars Memorial,https://en.wikipedia.org/wiki/26_Baku_Commissars_Memorial,True,,poi
Q96354642,Ovdan,40.46403735,49.918712515,Point(49.918712515 40.46403735),5,architectural structure,ovdan,1400-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Ovdan (Balaxanı).jpg,Was built in the 14th century in the Balakhani settlement by order of Shirvanshah Emir Khaja Zeynaddin.,Ovdan (Balakhani),https://en.wikipedia.org/wiki/Ovdan_(Balakhani),False,,poi
Q16414701,Qala Arxeoloji-Etnoqrafik Muzey Kompleksi,40.439718,50.169110294,Point(50.169110294 40.439718),5,museum,museum,2008-01-01T00:00:00Z,,,,,,,,,,Государственный историко-этнографический заповедник Гала.jpg,,,,False,,poi
Q25394143,Yeni Avropa,40.36987,49.838938,Point(49.838938 40.36987),4,building,hotel,1913-01-01T00:00:00Z,,,Art Nouveau architecture,Józef Plośko,Musa Naghiyev,,,,cultural heritage monument in Azerbaijan,New Europe.jpg,,,,True,,poi
Q18406624,"Cume Mescidi, Mashtaga",40.395277777,49.882222222,Point(49.882222222 40.395277777),4,mosque,"congregational mosque, mosque",1891-01-01T00:00:00Z,,,Islamic architecture,,,,stone,,,,,,,True,,poi
Q20932662,Fatima-Zahra Mosque (Yeni Guneshli),40.381361111,49.978694444,Point(49.978694444 40.381361111),4,mosque,mosque,,,,,Adalet Mammadov,,,,,,Xanım Fatimeyi-Zəhra məscidi (Yeni Günəşli).JPG,Mosque in Azerbaijan,,,False,,poi
Q60738456,Upland Cemetery,40.357222222,49.829166666,Point(49.829166666 40.357222222),4,architectural structure,cemetery,1883-01-01T00:00:00Z,,,,,,,,,,Upland cemetery in Baku.jpg,cemetery in Baku,Upland Cemetery,https://en.wikipedia.org/wiki/Upland_Cemetery,True,,poi
Q12844290,Qaraçı karvansarası,40.276813,49.439864,Point(49.439864 40.276813),4,building,building,1301-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Qaraçı karvansarası.jpg,,,,False,,poi
Q111972869,Skobelev Brothers' Mill,40.375427347,49.850195391,Point(49.850195391 40.375427347),4,building,building,1903-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,"Dəyirman binası, Nizami küçəsi, 80.jpg","A mill built in 1903-1909 in Baku by the representatives of the Molokan community, the brothers Sergei and Ivan Skobelev.",Skobelev Brothers' Mill,https://en.wikipedia.org/wiki/Skobelev_Brothers%27_Mill,True,,poi
Q110101221,Four-storey tenement house of Musa Nagiyev,40.37564319,49.851246218,Point(49.851246218 40.37564319),4,building,building,1910-01-01T00:00:00Z,,,,Józef Plośko,,,,,cultural heritage monument in Azerbaijan,Xaqani 47 yaşayış evi.jpg,"Historic building in Baku, Azerbaijan",Four-storey tenement house of Musa Nagiyev,https://en.wikipedia.org/wiki/Four-storey_tenement_house_of_Musa_Nagiyev,True,,poi
Q99472102,Building of Hospital № 4 in Baku,40.378237922,49.840683613,Point(49.840683613 40.378237922),4,building,building,1911-01-01T00:00:00Z,,,,Konstantin Borisoqlebskiy,,,,,cultural heritage monument in Azerbaijan,4 nömrəli xəctəxana.JPG,building in Azerbaijan,Men's Gymnasium Building (Baku),https://en.wikipedia.org/wiki/Men%27s_Gymnasium_Building_(Baku),True,,poi
Q97302028,Building of bank on Tarlan Aliyarbayov Street 5,40.369305555,49.838388888,Point(49.838388888 40.369305555),4,building,building,,,,,,,,,,,"Bankın binası, T.Əliyarbəyov küçəsi, 5 2016.jpg",bank building in Azerbaijan,Edifice of Tiflis Commercial Bank (Baku),https://en.wikipedia.org/wiki/Edifice_of_Tiflis_Commercial_Bank_(Baku),True,,poi
Q95951669,Building of Bank on Taghiyev Street,40.369027777,49.840027777,Point(49.840027777 40.369027777),4,building,building,1903-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Building of the bank on 3 Zeynalabdin Taghiyev Street.jpg,Bank building in Azerbaijan,Northern Bank building,https://en.wikipedia.org/wiki/Northern_Bank_building,True,,poi
Q21662011,The building of Buzovnaneft,40.373,49.841,Point(49.841 40.373),4,building,house,1945-01-01T00:00:00Z,,,,"Mikayil Useynov, Sadig Dadashov",,,,,,Buzovnaneftin binası 202409 (1).jpg,"residential building in Baku, Azerbaijan",,,True,,poi
Q85997389,Fenomen Cinematography Building,40.367182553,49.839036741,Point(49.839036741 40.367182553),4,building,building,1909-01-01T00:00:00Z,,,,Józef Plośko,,,,,cultural heritage monument in Azerbaijan,Baku. Phenomen cinema.jpg,"building in Baku, Azerbaijan",Fenomen Cinematography Building,https://en.wikipedia.org/wiki/Fenomen_Cinematography_Building,True,,poi
Q16486727,Azersu Office Tower,40.40638889,49.88527778,Point(49.88527778 40.40638889),4,building,building,,,,,,,,,,,,building in Azerbaijan,,,True,,poi
Q13668680,The House of Gubernator,40.363419,49.835034,Point(49.835034 40.363419),4,building,building,1897-01-01T00:00:00Z,,,,,,,,,,House of Gubernator.jpg,"mansion in Baku, Azerbaijan",Governor's House (Baku),https://en.wikipedia.org/wiki/Governor%27s_House_(Baku),True,,poi
Q110104290,Museum of Art,40.339561122,49.838170614,Point(49.838170614 40.339561122),4,museum,art museum,,2015-01-01T00:00:00Z,,,,,,,,,The Museum of Art in Baku entrance.jpg,,,,False,,poi
Q12835742,Amburan Lighthouse,40.583194,49.984722,Point(49.984722 40.583194),4,building,lighthouse,1882-01-01T00:00:00Z,,12,,,,,masonry,,,Амбуранский маяк 1915 год.png,lighthouse in Azerbaijan,Amburan Lighthouse,https://en.wikipedia.org/wiki/Amburan_Lighthouse,False,,poi
Q12835378,Absheron lighthouse,40.406944,50.325111,Point(50.325111 40.406944),4,building,lighthouse,1860-01-01T00:00:00Z,,25,,,,,,,,Gurgan Mayak.jpg,lighthouse in Azerbaijan,Absheron Lighthouse,https://en.wikipedia.org/wiki/Absheron_Lighthouse,False,,poi
