place_id,name,category,lat,lng,opening_hours,address,business_status,fetched_at,coverage
ChIJb-FyP8KHMEARTReSXZQNW-A,AL MARKET 3613,shopping_mall,40.4390626,49.8006524,,"CRQ2+M6, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJC97kZ7KHMEAR0SmbAUsSigE,Refi,tourist_attraction,40.4342849,49.8150469,,"40 Əhməd Qasımov, Bakı 1117, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJw7tdp5aHMEARa4WXHAjT_GA,Cavid Market,shopping_mall,40.4380777,49.790931099999995,,"CQQR+69M, Asəf Zeynallı küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJC18vY5eHMEAR1J2N-8c_xDY,Keçmiş qazanxana qülləsi Biləcəri,tourist_attraction,40.435823,49.8058896,,"CRP4+89C, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJN-KYsemHMEARv4aUw-WGOxc,Hədiyyələr Hədiyyə Satışı,shopping_mall,40.4385014,49.805103499999994,,"CRQ4+C25, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJkb6sj_OHMEARB2KOMZDe2t0,Amirovh Media,shopping_mall,40.4385014,49.805103599999995,,"CRQ4+C25, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJc4Vk2zGHMEARcfVbVG19G0Y,Biləcəri tekistil,shopping_mall,40.4375001,49.8019982,,"24 a Asəf Zeynallı, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ0-c1Y3OIMEARdGrPgB22_Zg,Zera Fashion,shopping_mall,40.4293403,49.8494624,,"Abay Kunanbayev küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJAQCQB9yHMEARgnOn63vjiyI,Ipekyolu Nesriyati,shopping_mall,40.426111,49.8347328,,"CRGM+CVX, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJnX-MLfKJMEARXKvP3ypj0cY,Dostluq Ticarət Mərkəzi,shopping_mall,40.43626,49.844272600000004,,"CRPV+GP2, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ05OcJ6OJMEAR_GnZrTDaIVs,Mobi home,shopping_mall,40.429441499999996,49.849911399999996,,"156 Abay Kunanbayev küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJFfHytaaHMEARDZMyfWgS7As,Yusifin Meyvə-Tərəvəzi,shopping_mall,40.4219334,49.8381438,,"184 Azadlıq Prospekti, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJeRVFapSHMEARlIzRV_elU4A,Terra perde,shopping_mall,40.4251029,49.8456465,,"CRGW+27R, Süleyman Sani Axundov küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJQwWPBQCHMEARvWIaRaW4BUk,UREYIM TIBB MƏRKƏZI,tourist_attraction,40.4219494,49.835950399999994,,"CRCP+R8V, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJB5ff_S6JMEAR0eyUKhpEFHE,Eldar Meyve - Terevez,shopping_mall,40.4363545,49.8426446,,"CRPR+GX3, Hüsəynov 10 Arif Hüseynov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJvbH9DQCHMEARM9uxsdeqvhg,Gunelim Xonca,shopping_mall,40.4246524,49.824706299999995,,"112 Svetlana Məmmədova, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJrwrhMwCJMEAROsYl7LU5fAY,Trend Mall,shopping_mall,40.435997799999996,49.8446777,,"157 Azadlıq Prospekti, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJy7Xgip6HMEARfuCOyWFVR8U,Fatime Tekstil,shopping_mall,40.4252527,49.8418637,,"CRGR+4P5, Süleyman Sani Axundov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJOYHKgUqJMEARq2HVKdss1k0,Mehandco,shopping_mall,40.4371369,49.850108,,"Baku 3700, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
